d18Oc	species
-0,12	pachy_s
-1,13	ruber
1,19	bulloides
-2,56	ruber
-2,30	ruber
-2,29	ruber
-2,53	ruber
-2,84	ruber
1,95	bulloides
-2,22	sacculifer
-1,22	ruber
0,20	bulloides
-0,51	ruber
0,89	bulloides
1,30	bulloides
1,34	bulloides
0,13	bulloides
1,19	bulloides
1,42	bulloides
-2,15	ruber
-1,44	ruber
2,00	bulloides
1,82	bulloides
3,11	pachy_s
2,25	bulloides
3,12	pachy_s
2,00	bulloides
-0,17	ruber
1,82	bulloides
3,11	pachy_s
2,60	bulloides
-1,58	ruber
1,65	bulloides
1,65	bulloides
2,48	pachy_s
1,63	bulloides
2,43	pachy_s
2,26	bulloides
2,26	bulloides
2,26	bulloides
2,89	pachy_d
2,89	pachy_d
3,44	pachy_s
3,57	pachy_s
1,51	bulloides
-1,10	ruber
-1,09	ruber
-1,10	ruber
-1,11	ruber
2,44	pachy_s
2,43	bulloides
1,42	ruber
2,28	pachy_d
2,35	bulloides
-1,93	ruber
2,59	bulloides
2,60	pachy_s
3,58	pachy_s
3,56	pachy_s
-1,31	sacculifer
-1,36	sacculifer
1,16	bulloides
0,47	bulloides
1,47	bulloides
0,85	bulloides
0,46	bulloides
-0,99	ruber
2,49	pachy_s
2,56	pachy_s
-2,41	ruber
-2,43	ruber
-1,80	ruber
-2,41	ruber
-1,75	ruber
-1,73	bulloides
-2,02	ruber
-2,15	ruber
-1,28	ruber
-1,34	ruber
1,11	bulloides
0,05	ruber
-0,99	ruber
-0,52	sacculifer
-0,52	sacculifer
-1,63	ruber
-1,61	ruber
-0,83	sacculifer
-0,88	sacculifer
-0,96	sacculifer
-0,96	sacculifer
-2,21	ruber
-0,51	ruber
-0,43	sacculifer
-0,40	sacculifer
-0,97	sacculifer
-1,36	ruber
-1,36	ruber
-0,92	sacculifer
-0,92	sacculifer
-0,82	sacculifer
-0,82	sacculifer
-1,31	ruber
-0,90	sacculifer
-0,90	sacculifer
-0,94	ruber
-0,94	ruber
-0,51	sacculifer
-0,60	sacculifer
0,29	bulloides
0,44	bulloides
-1,79	ruber
0,31	bulloides
-0,90	ruber
-0,51	sacculifer
-1,24	ruber
-1,37	ruber
-0,14	ruber
3,04	pachy_s
-0,51	sacculifer
-0,51	sacculifer
-1,21	ruber
1,99	bulloides
3,35	pachy_s
1,69	bulloides
3,27	pachy_s
1,97	bulloides
3,21	pachy_s
-2,56	ruber
-2,27	ruber
-2,53	ruber
-2,34	ruber
-2,83	ruber
-2,84	ruber
-2,08	ruber
-2,07	ruber
-2,19	ruber
-2,23	ruber
-2,06	ruber
-1,98	ruber
-2,17	ruber
-2,03	ruber
-2,06	ruber
-2,09	ruber
3,27	pachy_s
2,15	bulloides
3,12	pachy_s
3,40	pachy_s
-0,48	sacculifer
3,43	pachy_s
3,60	pachy_s
3,60	pachy_s
3,51	pachy_s
3,37	pachy_s
3,53	pachy_s
3,52	pachy_s
3,37	pachy_s
3,39	pachy_s
3,64	pachy_s
3,25	pachy_s
3,36	pachy_s
3,66	pachy_s
2,51	pachy_s
2,35	pachy_s
3,56	pachy_s
-1,48	ruber
0,06	pachy_s
0,16	pachy_s
1,93	bulloides
1,93	bulloides
2,83	bulloides
2,55	bulloides
2,42	bulloides
2,73	bulloides
2,74	bulloides
2,74	bulloides
2,74	bulloides
2,83	bulloides
2,83	bulloides
2,03	bulloides
-0,87	ruber
-0,87	ruber
-0,57	ruber
-0,54	ruber
-0,55	ruber
-1,97	ruber
-0,38	ruber
-0,35	ruber
2,22	bulloides
1,73	ruber
2,76	pachy_s
3,35	pachy_s
3,45	pachy_s
1,97	ruber
1,95	ruber
-1,48	ruber
-1,50	ruber
0,89	bulloides
0,89	bulloides
2,87	pachy_s
2,79	pachy_s
-2,15	ruber
-2,25	ruber
-2,63	ruber
-1,87	sacculifer
1,12	bulloides
1,55	bulloides
1,48	bulloides
1,04	bulloides
2,57	pachy_s
2,58	pachy_s
1,44	bulloides
1,41	bulloides
-2,09	ruber
-2,13	ruber
-0,96	ruber
-0,97	ruber
-0,95	ruber
0,22	bulloides
-0,23	ruber
-0,24	ruber
1,46	bulloides
1,44	bulloides
1,18	bulloides
-1,38	ruber
-1,39	ruber
-1,38	ruber
0,69	bulloides
0,63	ruber
-0,95	ruber
-2,18	ruber
-1,93	ruber
1,90	bulloides
1,93	bulloides
0,99	pachy_s
1,89	bulloides
-1,23	ruber
-1,46	ruber
-1,36	ruber
3,39	pachy_s
-1,83	ruber
-1,83	ruber
-1,25	ruber
-2,18	ruber
-2,25	ruber
-2,30	ruber
-2,25	ruber
-2,42	ruber
-2,52	ruber
-2,52	ruber
-1,79	ruber
-1,73	ruber
-1,54	ruber
-1,54	ruber
-1,69	ruber
-1,69	ruber
3,86	pachy_s
3,82	pachy_s
3,82	pachy_s
2,20	bulloides
1,90	bulloides
3,40	pachy_s
2,95	pachy_s
2,52	pachy_s
3,47	pachy_s
1,88	ruber
2,36	bulloides
3,05	pachy_s
2,36	pachy_s
0,73	bulloides
2,58	bulloides
2,35	ruber
-1,95	ruber
2,20	bulloides
2,59	bulloides
2,48	pachy_s
1,92	bulloides
3,61	pachy_s
3,38	pachy_s
0,93	bulloides
0,84	bulloides
1,45	bulloides
1,51	bulloides
1,23	pachy_d
2,29	bulloides
-1,47	ruber
2,64	bulloides
2,32	bulloides
-2,29	ruber
-2,65	ruber
-2,65	ruber
-2,92	ruber
-1,60	sacculifer
-1,60	sacculifer
-1,68	sacculifer
-2,31	sacculifer
-2,45	ruber
-2,50	ruber
-2,52	ruber
-1,99	ruber
-2,34	ruber
-2,43	ruber
-2,22	ruber
-2,28	ruber
-2,24	ruber
-2,00	ruber
-2,02	ruber
-1,98	ruber
-1,68	sacculifer
-2,11	ruber
-2,11	ruber
3,25	pachy_s
3,29	pachy_s
1,60	bulloides
1,02	bulloides
0,89	bulloides
0,62	bulloides
2,78	bulloides
2,78	bulloides
2,72	bulloides
2,74	bulloides
-1,86	ruber
-1,85	ruber
-2,31	ruber
2,65	bulloides
2,65	bulloides
2,47	pachy_s
2,50	pachy_s
-0,82	bulloides
-1,04	ruber
-1,04	ruber
3,39	pachy_s
3,43	pachy_s
1,32	bulloides
-2,56	ruber
-2,35	ruber
2,64	pachy_s
1,74	bulloides
-1,15	ruber
1,15	bulloides
-1,98	ruber
-1,98	ruber
1,60	bulloides
1,43	pachy_s
-1,86	ruber
-2,84	ruber
-2,57	ruber
-2,35	ruber
-1,47	sacculifer
3,00	pachy_d
-1,12	ruber
-1,65	ruber
0,65	bulloides
1,87	bulloides
2,34	pachy_s
2,17	bulloides
2,46	pachy_s
2,18	pachy_s
-1,38	ruber
-1,94	ruber
-1,95	ruber
-0,27	ruber
-0,79	bulloides
-0,23	ruber
3,17	pachy_s
3,10	pachy_s
3,69	pachy_s
2,31	bulloides
-1,35	ruber
-1,36	ruber
-1,34	ruber
-1,14	sacculifer
-1,10	sacculifer
-2,01	ruber
-1,55	sacculifer
-1,51	sacculifer
2,69	pachy_s
-1,06	ruber
-1,17	ruber
-1,09	bulloides
2,76	pachy_s
2,63	pachy_s
2,50	pachy_s
2,17	bulloides
-2,08	sacculifer
-2,03	sacculifer
-2,07	ruber
-2,12	ruber
-1,56	sacculifer
-1,50	ruber
3,35	pachy_s
-2,43	ruber
-2,45	ruber
-2,48	ruber
-1,85	ruber
-2,12	ruber
-1,73	ruber
-1,47	ruber
-1,25	ruber
-1,44	ruber
0,01	ruber
-1,28	ruber
-1,30	ruber
-2,22	sacculifer
0,94	bulloides
1,24	bulloides
1,21	bulloides
1,21	bulloides
0,98	bulloides
1,22	bulloides
1,17	bulloides
1,43	bulloides
1,47	bulloides
2,68	pachy_s
1,28	pachy_s
2,03	bulloides
2,01	bulloides
0,87	bulloides
0,87	bulloides
0,89	bulloides
-0,24	bulloides
1,98	bulloides
0,90	ruber
-1,71	ruber
-1,15	ruber
-1,23	ruber
-1,16	ruber
-1,15	ruber
-1,19	ruber
-1,07	ruber
3,76	pachy_s
