d18Oc	species
2,00	pachy_s
-1,86	ruber
0,26	bulloides
-2,93	ruber
-2,60	ruber
-2,54	ruber
-3,00	ruber
-3,20	ruber
1,40	bulloides
-2,34	sacculifer
-1,74	ruber
0,13	bulloides
-1,05	ruber
0,50	bulloides
0,49	bulloides
0,01	bulloides
-1,21	bulloides
-1,21	bulloides
-0,12	bulloides
-2,78	ruber
-2,78	ruber
1,54	bulloides
0,78	bulloides
1,64	pachy_s
1,31	bulloides
1,61	pachy_s
1,54	bulloides
-0,90	ruber
0,94	bulloides
1,64	pachy_s
0,94	bulloides
-2,61	ruber
1,16	bulloides
1,13	bulloides
2,16	pachy_s
1,04	bulloides
2,23	pachy_s
0,91	bulloides
0,92	bulloides
0,90	bulloides
1,07	pachy_d
1,08	pachy_d
1,74	pachy_s
3,71	pachy_s
0,20	bulloides
-2,13	ruber
-2,13	ruber
-2,18	ruber
-2,14	ruber
2,14	pachy_s
1,07	bulloides
0,50	ruber
0,72	pachy_d
1,20	bulloides
-2,31	ruber
2,28	bulloides
2,56	pachy_s
2,67	pachy_s
2,67	pachy_s
-1,77	sacculifer
-2,01	sacculifer
0,48	bulloides
0,35	bulloides
0,46	bulloides
1,19	bulloides
0,25	bulloides
-1,79	ruber
2,02	pachy_s
2,29	pachy_s
-2,76	ruber
-2,78	ruber
-2,74	ruber
-2,93	ruber
-2,71	ruber
-2,46	bulloides
-2,27	ruber
-2,67	ruber
-1,52	ruber
-1,78	ruber
0,04	bulloides
-0,63	ruber
-1,69	ruber
-1,01	sacculifer
-0,81	sacculifer
-2,10	ruber
-2,13	ruber
-1,32	sacculifer
-1,53	sacculifer
-1,52	sacculifer
-1,75	sacculifer
-2,65	ruber
-1,15	ruber
-0,78	sacculifer
-1,08	sacculifer
-1,48	sacculifer
-1,31	ruber
-1,52	ruber
-1,31	sacculifer
-1,47	sacculifer
-1,59	sacculifer
-1,59	sacculifer
-1,79	ruber
-1,45	sacculifer
-1,45	sacculifer
-1,10	ruber
-0,91	ruber
-0,98	sacculifer
-1,20	sacculifer
-0,01	bulloides
-0,23	bulloides
-2,58	ruber
-0,34	bulloides
-0,87	ruber
-0,56	sacculifer
-1,80	ruber
-1,75	ruber
-1,05	ruber
3,00	pachy_s
-1,08	sacculifer
-1,04	sacculifer
-1,45	ruber
1,53	bulloides
2,16	pachy_s
1,52	bulloides
2,73	pachy_s
1,65	bulloides
2,77	pachy_s
-2,93	ruber
-2,57	ruber
-2,79	ruber
-2,91	ruber
-3,01	ruber
-3,29	ruber
-2,80	ruber
-2,81	ruber
-2,68	ruber
-2,96	ruber
-2,73	ruber
-2,78	ruber
-2,78	ruber
-2,80	ruber
-2,67	ruber
-2,74	ruber
3,46	pachy_s
1,09	bulloides
1,65	pachy_s
2,65	pachy_s
-1,26	sacculifer
3,60	pachy_s
3,60	pachy_s
3,49	pachy_s
3,26	pachy_s
3,20	pachy_s
2,87	pachy_s
2,87	pachy_s
3,47	pachy_s
3,47	pachy_s
3,93	pachy_s
3,47	pachy_s
3,62	pachy_s
3,89	pachy_s
1,89	pachy_s
-0,57	pachy_s
2,55	pachy_s
-2,31	ruber
2,97	pachy_s
2,95	pachy_s
2,17	bulloides
2,17	bulloides
1,53	bulloides
1,46	bulloides
1,39	bulloides
1,87	bulloides
1,45	bulloides
1,36	bulloides
1,45	bulloides
1,43	bulloides
1,53	bulloides
0,73	bulloides
-1,71	ruber
-1,66	ruber
-0,90	ruber
-0,86	ruber
-0,95	ruber
-1,70	ruber
-0,20	ruber
-0,19	ruber
1,92	bulloides
0,41	ruber
2,66	pachy_s
3,35	pachy_s
3,23	pachy_s
0,10	ruber
-0,07	ruber
-2,13	ruber
-2,14	ruber
0,45	bulloides
0,50	bulloides
1,99	pachy_s
1,80	pachy_s
-2,69	ruber
-2,69	ruber
-2,83	ruber
-2,08	sacculifer
1,17	bulloides
0,00	bulloides
-0,01	bulloides
0,61	bulloides
1,89	pachy_s
3,26	pachy_s
-0,21	bulloides
-0,23	bulloides
-3,00	ruber
-2,98	ruber
-1,12	ruber
-1,07	ruber
-1,13	ruber
-0,14	bulloides
-0,38	ruber
-0,41	ruber
0,41	bulloides
0,44	bulloides
0,33	bulloides
-2,35	ruber
-2,29	ruber
-2,36	ruber
-0,09	bulloides
-0,31	ruber
-1,88	ruber
-2,41	ruber
-2,82	ruber
2,07	bulloides
2,37	bulloides
1,07	pachy_s
0,10	bulloides
-1,61	ruber
-1,75	ruber
-1,63	ruber
2,09	pachy_s
-2,63	ruber
-2,63	ruber
-1,89	ruber
-3,28	ruber
-3,10	ruber
-3,10	ruber
-3,10	ruber
-3,12	ruber
-3,22	ruber
-3,12	ruber
-2,62	ruber
-1,98	ruber
-2,18	ruber
-2,15	ruber
-1,89	ruber
-1,91	ruber
2,94	pachy_s
2,94	pachy_s
2,94	pachy_s
1,99	bulloides
2,33	bulloides
2,09	pachy_s
2,30	pachy_s
2,54	pachy_s
3,15	pachy_s
0,22	ruber
1,79	bulloides
1,98	pachy_s
1,84	pachy_s
-0,22	bulloides
1,20	bulloides
0,66	ruber
-2,49	ruber
1,83	bulloides
1,87	bulloides
1,58	pachy_s
0,72	bulloides
2,10	pachy_s
1,26	pachy_s
0,17	bulloides
0,26	bulloides
0,31	bulloides
0,30	bulloides
1,89	pachy_d
0,93	bulloides
-1,51	ruber
2,11	bulloides
2,11	bulloides
-2,31	ruber
-2,52	ruber
-2,53	ruber
-3,10	ruber
-1,95	sacculifer
-1,94	sacculifer
-1,86	sacculifer
-2,61	sacculifer
-3,12	ruber
-3,18	ruber
-3,21	ruber
-2,66	ruber
-2,61	ruber
-2,84	ruber
-2,79	ruber
-2,70	ruber
-3,00	ruber
-2,80	ruber
-2,79	ruber
-2,78	ruber
-2,39	sacculifer
-2,21	ruber
