lat,lon,species,d18Oc,sigmaT
26.2,-14.79,"G, bulloides",-0.19,25.987104415893555
-27.5,-71.21,"G, bulloides",-0.34,25.27701759338379
-30.36,-72.02,"G, bulloides",-0.38,25.27735710144043
-30.36,-71.96,"G, bulloides",-0.24,25.230365753173828
-32.29,-72.27,"G, bulloides",-0.54,25.27269172668457
-35.22,-72.81,"G, bulloides",-0.52,25.360036849975586
-35.28,-73.22,"G, bulloides",0.0,25.3323974609375
-35.22,-73.49,"G, bulloides",-0.31,25.3323974609375
-27.47,-71.17,"G, bulloides",0.04,25.27701759338379
-35.25,-73.42,"G, bulloides",1.48,25.3323974609375
-43.23,-79.0,"G, bulloides",1.84,25.535531997680664
-43.22,-75.95,"G, bulloides",1.26,25.160491943359375
-42.04,-75.32,"G, bulloides",0.75,25.158836364746094
-42.01,-75.3,"G, bulloides",1.81,25.158836364746094
-41.94,-75.21,"G, bulloides",0.58,25.169723510742188
-41.6,-74.98,"G, bulloides",1.85,25.10249900817871
-33.13,-73.75,"G, bulloides",0.24,25.268152236938477
-43.24,-79.99,"G, bulloides",2.04,25.609634399414062
-27.47,-71.25,"G, bulloides",-0.71,25.27701759338379
-27.47,-71.36,"G, bulloides",-0.2,25.27701759338379
-27.47,-71.53,"G, bulloides",-0.2,25.27701759338379
26.84,-15.11,"G, bulloides",-0.56,25.907907485961914
26.65,-15.05,"G, bulloides",-0.43,25.907907485961914
26.41,-14.96,"G, bulloides",-0.35,25.987104415893555
26.49,-14.93,"G, bulloides",-0.49,25.987104415893555
26.29,-14.86,"G, bulloides",0.12,25.987104415893555
26.23,-14.81,"G, bulloides",-0.3,25.987104415893555
37.1,-9.48,"G, bulloides",0.16,26.21799659729004
26.0,-14.67,"G, bulloides",-0.03,25.987104415893555
27.05,-15.05,"G, bulloides",-0.36,25.837739944458008
38.0,-29.09,"G, bulloides",0.0,25.87968635559082
29.1667,-15.4517,"G, bulloides",0.56,25.860008239746094
28.8883,-13.225,"G, bulloides",-0.425,25.95749855041504
29.0167,-12.4667,"G, bulloides",0.02,26.007444381713867
-25.25,12.0217,"G, bulloides",0.09,25.66408348083496
-25.22,-75.53,"G, bulloides",1.2,24.96931266784668
-25.63,-75.53,"G, bulloides",0.15,24.96931266784668
-27.5,-71.5,"G, bulloides",-0.5,25.27701759338379
-32.85,-72.42,"G, bulloides",-0.08,25.27269172668457
-33.21,-72.18,"G, bulloides",2.92,25.40087890625
-33.22,-72.09,"G, bulloides",2.15,25.40087890625
-33.15,-71.98,"G, bulloides",2.64,25.230365753173828
68.2633,12.3417,"G, bulloides",2.06,26.81056785583496
67.75,11.1838,"G, bulloides",1.82,26.573869705200195
67.6908,11.0333,"G, bulloides",1.82,26.573869705200195
47.62,-20.92,"G, bulloides",1.11,26.55777931213379
44.0,-20.02,"G, bulloides",0.7,26.40440559387207
45.0,-24.66,"G, bulloides",0.47,26.421297073364258
45.35,-27.15,"G, bulloides",0.86,26.39676856994629
46.21,-23.72,"G, bulloides",0.62,26.490842819213867
46.29,-23.6,"G, bulloides",1.3,26.490842819213867
45.99,-23.85,"G, bulloides",0.68,26.432710647583008
47.17,-21.39,"G, bulloides",0.97,26.554738998413086
47.67,-20.81,"G, bulloides",0.77,26.55777931213379
53.06,-20.8,"G, bulloides",1.22,26.842443466186523
58.5,-20.49,"G, bulloides",1.85,27.036287307739258
31.31,-30.48,"G, bulloides",0.9,25.61045265197754
33.75,-32.16,"G, bulloides",1.3,25.56980323791504
33.85,-30.09,"G, bulloides",1.07,25.6278018951416
68.232,12.475,"G, bulloides",1.82,26.81056785583496
22.48,-17.15,"G, bulloides",-0.17,25.890233993530273
68.185,12.3,"G, bulloides",1.38,26.81056785583496
36.5,24.33,"G, bulloides",1.45,27.95670509338379
-17.1572,11.0117,"G, bulloides",0.043,25.786758422851562
-6.5823,10.3186,"G, bulloides",-1.3,22.12099266052246
-56.0,-115.0,"G, bulloides",2.28,26.86943244934082
36.69,12.28,"G, bulloides",1.07,26.667009353637695
43.5,-29.87,"G, bulloides",0.2,26.229578018188477
45.75,-3.95,"G, bulloides",1.47,25.917634963989258
