,sigmaT,d18Oc,lon,lat,species,species_idx,y_hat,residuals
0,22.432730674743652,-1.64,-167.5,-7.5,ruber,0,23.326321032002117,0.8935903572584643
1,22.432730674743652,-1.21,-167.5,-7.5,sacculifer,1,23.992576682376235,1.5598460076325829
2,23.212605476379395,-1.8483886,-158.5,21.5,ruber,0,22.98209415388388,-0.23051132249551287
3,25.40030527114868,2.28,-149.5,54.5,bulloides,2,27.064072415538714,1.6637671443900324
4,25.40030527114868,2.385,-149.5,54.5,pachy_s,4,27.09449659431573,1.694191323167047
5,25.39438009262085,2.26,-148.5,54.5,bulloides,2,27.068652572210723,1.6742724795898738
6,25.39438009262085,2.25,-148.5,54.5,pachy_s,4,27.045094052653038,1.6507139600321885
7,24.581127166748047,-0.235,-120.5,34.5,bulloides,2,25.289735355459854,0.708608188711807
8,24.581127166748047,0.4,-120.5,34.5,pachy_s,4,25.938028687967222,1.356901521219175
9,26.536858081817627,2.3265,-119.5,-54.5,pachy_s,4,27.077294696376406,0.5404366145587787
10,24.380568027496338,0.305000005,-119.5,32.5,bulloides,2,25.845658133905303,1.4650901064089652
11,24.422617435455322,-0.12,-119.5,33.5,bulloides,2,25.413629288617518,0.9910118531621954
12,24.249270915985107,-0.5975,-118.5,31.5,bulloides,2,24.85113166039239,0.6018607444072828
13,26.57242202758789,2.28,-114.5,-55.5,bulloides,2,27.061196751378333,0.48877472379044207
14,26.57242202758789,2.56,-114.5,-55.5,pachy_s,4,27.120975956613027,0.548553929025136
15,23.485012531280518,-1.61,-106.5,-5.5,ruber,0,23.377476353311266,-0.10753617796925141
16,23.485012531280518,-1.22,-106.5,-5.5,sacculifer,1,23.995040987755864,0.5100284564753466
17,23.117228507995605,-0.69,-106.5,-0.5,sacculifer,1,24.745653169434203,1.628424661438597
18,23.86512517929077,-0.14,-97.5,-9.5,sacculifer,1,25.40198595553213,1.5368607762413582
19,22.878976345062256,-1.37,-93.5,0.5,ruber,0,23.767251998597803,0.8882756535355476
20,22.851552486419678,-1.56,-92.5,0.5,ruber,0,23.459726906163294,0.6081744197436159
21,22.48902940750122,-1.59,-91.5,26.5,ruber,0,23.40046838955284,0.9114389820516209
22,21.973981857299805,-1.53,-91.5,27.5,ruber,0,23.518048626031813,1.5440667687320087
23,21.830985069274902,-2.04,-90.5,2.5,ruber,0,22.634851248068273,0.8038661787933705
24,21.830985069274902,-1.42,-90.5,2.5,sacculifer,1,23.67814682917009,1.8471617598951866
25,23.255507469177246,-1.6404999999999998,-89.5,-1.5,ruber,0,23.338743200610686,0.08323573143344021
26,23.255507469177246,-1.475,-89.5,-1.5,sacculifer,1,23.59033045646885,0.3348229872916022
27,21.763540744781494,-1.88,-89.5,2.5,ruber,0,22.90974533010878,1.1462045853272862
28,21.763540744781494,-1.76,-89.5,2.5,sacculifer,1,23.130195810295557,1.3666550655140632
29,21.616250038146973,-2.66,-87.5,2.5,ruber,0,21.487607852883787,-0.12864218526318538
30,21.616250038146973,-2.03,-87.5,2.5,sacculifer,1,22.665747533581,1.0494974954340286
31,21.175283908843994,-1.5,-87.5,5.5,sacculifer,1,23.54675097613486,2.3714670672908653
32,20.29079818725586,-1.27,-87.5,29.5,ruber,0,23.8976617173673,3.60686353011144
33,23.42732000350952,-0.99,-86.5,-2.5,ruber,0,24.32071973214708,0.8933997286375579
34,23.42732000350952,-0.135,-86.5,-2.5,sacculifer,1,25.3920656097389,1.9647456062293784
35,23.235572814941406,-1.78,-86.5,-1.5,ruber,0,23.09803915750142,-0.13753365743998458
36,23.235572814941406,-1.23,-86.5,-1.5,sacculifer,1,23.97575608027655,0.7401832653351441
37,23.25470781326294,-1.53,-85.5,-1.5,ruber,0,23.505757784707892,0.251049971444953
38,23.25470781326294,-1.23,-85.5,-1.5,sacculifer,1,23.967222055019363,0.7125142417564234
39,23.532283306121826,-1.57,-84.5,-2.5,ruber,0,23.443341284212472,-0.08894202190935374
40,23.532283306121826,-1.29,-84.5,-2.5,sacculifer,1,23.89566646065433,0.363383154532503
41,20.644831657409668,-3.0,-84.5,8.5,ruber,0,20.773890833824787,0.12905917641511877
42,20.503868103027344,-2.6100000000000003,-83.5,7.5,ruber,0,21.561657421132235,1.0577893181048914
43,23.28854513168335,-1.61,-83.5,24.5,ruber,0,23.372127401020926,0.08358226933757607
44,23.584181308746338,-1.4,-82.5,-2.5,ruber,0,23.705367943471142,0.12118663472480407
45,23.584181308746338,-0.99,-82.5,-2.5,sacculifer,1,24.328506639076878,0.7443253303305397
46,22.465205192565918,-2.1,-82.5,-0.5,ruber,0,22.54315842874485,0.07795323617893146
47,22.465205192565918,-1.91,-82.5,-0.5,sacculifer,1,22.88167355225668,0.4164683596907608
48,22.46889638900757,-1.602208,-81.5,10.5,ruber,0,23.389419069383337,0.9205226803757682
49,25.423999786376953,2.04,-79.5,-43.5,bulloides,2,26.992674540543216,1.5686747541662633
50,25.423999786376953,0.69,-79.5,-43.5,pachy_d,3,26.185524927093322,0.761525140716369
51,23.012248039245605,-1.728638,-79.5,13.5,ruber,0,23.15967081271565,0.14742277347004418
52,23.06343126296997,-1.8730000000000004,-79.5,16.5,ruber,0,22.937127504855134,-0.12630375811483674
53,23.06343126296997,-1.418,-79.5,16.5,sacculifer,1,23.693546519592083,0.630115256622112
54,23.062631607055664,-1.495,-79.5,17.5,ruber,0,23.5681924884989,0.5055608814432375
55,23.062631607055664,-1.1949999999999998,-79.5,17.5,sacculifer,1,24.021253634226195,0.9586220271705308
56,25.389552116394043,1.84,-78.5,-43.5,bulloides,2,26.90648203817856,1.5169299217845165
57,25.389552116394043,0.76,-78.5,-43.5,pachy_d,3,26.252084037568153,0.86253192117411
58,24.72170114517212,-1.86,-78.5,-17.5,bulloides,2,22.9509265751703,-1.7707745700018194
59,22.82188367843628,-1.97,-78.5,11.5,ruber,0,22.77183373379561,-0.05004994464066925
60,22.94850254058838,-1.86,-78.5,12.5,ruber,0,22.971564677976787,0.023062137388407677
61,23.038331031799316,-1.90494799999999,-78.5,14.5,ruber,0,22.871988974352465,-0.16634205744685104
62,23.040518283843994,-1.9400000000000002,-78.5,16.5,ruber,0,22.83513876937554,-0.20537951446845426
63,23.040518283843994,-1.64,-78.5,16.5,sacculifer,1,23.328458832343323,0.2879405484993285
64,22.973942279815674,-1.91688666666666,-77.5,12.5,ruber,0,22.879752010474927,-0.09419026934074637
65,23.02146291732788,-2.175,-77.5,16.5,ruber,0,22.391085321800507,-0.6303775955273743
66,23.02146291732788,-1.71,-77.5,16.5,sacculifer,1,23.22511276728687,0.20364984995898894
67,23.01745891571045,-2.126,-77.5,17.5,ruber,0,22.49895825753384,-0.5185006581766096
68,23.00697374343872,-2.0250000000000004,-76.5,16.5,ruber,0,22.66871774501341,-0.3382559984253106
69,23.00697374343872,-1.6,-76.5,16.5,sacculifer,1,23.388048311578206,0.3810745681394856
70,23.950939655303955,-1.564,-76.5,32.5,ruber,0,23.450123312809772,-0.5008163424941827
71,25.301454544067383,1.26,-75.5,-43.5,bulloides,2,26.60626457807688,1.3048100340094955
72,25.301454544067383,0.14,-75.5,-43.5,pachy_d,3,25.693951379165558,0.392496835098175
73,25.258327960968018,1.28,-75.5,-42.5,bulloides,2,26.601030458859764,1.3427024978917466
74,25.258327960968018,0.46,-75.5,-42.5,pachy_d,3,25.995273652211253,0.7369456912432355
75,25.215054035186768,0.58,-75.5,-41.5,bulloides,2,26.104284833701506,0.8892307985147383
76,25.215054035186768,0.75,-75.5,-41.5,pachy_d,3,26.24905384641283,1.0339998112260638
77,24.926773071289062,0.6749999999999999,-75.5,-25.5,bulloides,2,26.183031519105977,1.256258447816915
78,24.21666145324707,-1.5,-75.5,31.5,ruber,0,23.55017217820015,-0.6664892750469207
79,24.032224655151367,-1.42,-75.5,34.5,ruber,0,23.685531609203938,-0.3466930459474291
80,25.22386407852173,1.85,-74.5,-41.5,bulloides,2,26.913335750788963,1.689471672267235
81,25.22386407852173,0.59,-74.5,-41.5,pachy_d,3,26.11499906688082,0.8911349883590916
82,25.18716049194336,0.28,-74.5,-40.5,pachy_d,3,25.821342294637226,0.6341818026938668
83,23.12398624420166,-1.805,-74.5,13.5,ruber,0,23.05286107306367,-0.07112517113798944
84,23.12398624420166,-1.35,-74.5,13.5,sacculifer,1,23.792409189393585,0.6684229451919244
85,22.975858688354492,-2.086484,-74.5,16.5,ruber,0,22.56152719179065,-0.41433149656384316
86,22.975858688354492,-2.05,-74.5,16.5,sacculifer,1,22.625955247156003,-0.3499034411984887
87,23.555166244506836,-1.70875,-74.5,21.5,ruber,0,23.215574119181177,-0.33959212532565886
88,23.555166244506836,-1.4600000000000002,-74.5,21.5,sacculifer,1,23.629011781861813,0.0738455373549769
89,25.259029388427734,0.38999999999999996,-73.5,-35.5,bulloides,2,25.920178121917594,0.6611487334898598
90,25.259029388427734,0.5366666666666666,-73.5,-35.5,pachy_d,3,26.04506064058493,0.7860312521571942
91,25.188440322875977,0.24,-73.5,-33.5,bulloides,2,25.790794577508542,0.6023542546325658
92,25.188440322875977,0.64,-73.5,-33.5,pachy_d,3,26.14305491741106,0.9546145945350837
