,d18Oc,sigmaT,time,depth,lon,lat,species,species_idx,y_hat,residuals
0,-2.0580638187894187,22.55868130273541,PI,-6.0,-167.5,-7.5,ruber,0,21.85686563404895,-0.7018156686864572
1,-2.05915776575653,22.55868130273541,PI,-6.0,-167.5,-7.5,sacculifer,1,21.885646124228206,-0.6730351785072024
2,-1.0258048791153782,24.25200962821131,PI,-6.0,-158.5,21.5,ruber,0,23.93149405898178,-0.3205155692295314
3,1.5159560647875812,25.61947384489298,PI,-6.0,-149.5,54.5,bulloides,2,26.998432299575995,1.3789584546830156
4,2.1789223063079146,25.61947384489298,PI,-6.0,-149.5,54.5,pachy_s,4,26.878494316588263,1.2590204716952833
5,1.5063252270903307,25.609663144493936,PI,-6.0,-148.5,54.5,bulloides,2,26.979452333624106,1.3697891891301701
6,2.174426432784561,25.609663144493936,PI,-6.0,-148.5,54.5,pachy_s,4,26.864364937918246,1.25470179342431
7,-0.2065797539229295,24.701166952673077,PI,-6.0,-120.5,34.5,bulloides,2,23.8833244331672,-0.8178425195058772
8,2.4333417282121514,27.087581795338224,PI,-6.0,-119.5,-54.5,pachy_s,4,27.018674326272535,-0.06890746906568879
9,-0.3862744934972293,24.063170577175384,PI,-6.0,-119.5,32.5,bulloides,2,23.57021619139021,-0.4929543857851755
10,-0.27412889437682375,24.43701499189754,PI,-6.0,-119.5,33.5,bulloides,2,23.773728425026178,-0.6632865668713634
11,-0.5876681516450718,23.704411524417395,PI,-6.0,-118.5,31.5,bulloides,2,23.19108871664172,-0.5133228077756762
12,2.501065227653654,27.126202974872285,PI,-6.0,-114.5,-55.5,pachy_s,4,27.05707489298697,-0.06912808188531372
13,-1.124298939515774,23.59471805613407,PI,-6.0,-106.5,-5.5,ruber,0,23.760570921290473,0.16585286515640263
14,-1.0779491431611863,23.59471805613407,PI,-6.0,-106.5,-5.5,sacculifer,1,23.618000751296467,0.023282695162397005
15,-0.49357142020330047,23.65365768453242,PI,-6.0,-106.5,-0.5,sacculifer,1,24.670559631024343,1.0169019464919238
16,-1.2223306092589812,23.30869354180996,PI,-6.0,-97.5,-9.5,sacculifer,1,23.379040161178693,0.07034661936873476
17,-1.3414533345817485,22.40307639489646,PI,-6.0,-93.5,0.5,ruber,0,23.30703092669375,0.9039545317972895
18,-1.3752146836153907,22.33211530845898,PI,-6.0,-92.5,0.5,ruber,0,23.24131138329906,0.9091960748400787
19,-1.0526965000789548,24.187293190975993,PI,-6.0,-91.5,26.5,ruber,0,23.875049836238382,-0.31224335473761045
20,-1.0068952977877839,24.25728786068538,PI,-6.0,-91.5,27.5,ruber,0,23.984088862883883,-0.27319899780149726
21,-1.5700985345431575,21.792586148609672,PI,-6.0,-90.5,2.5,ruber,0,22.839899016330126,1.0473128677204535
22,-1.2481519333695874,21.792586148609672,PI,-6.0,-90.5,2.5,sacculifer,1,23.318670646508487,1.5260844978988146
23,-1.0573780726344988,22.877651136728986,PI,-6.0,-89.5,-1.5,ruber,0,23.8959325448698,1.0182814081408154
24,-0.7074932209187985,22.877651136728986,PI,-6.0,-89.5,-1.5,sacculifer,1,24.29432889211433,1.4166777553853436
25,-1.6766527592361928,21.70580048816427,PI,-6.0,-89.5,2.5,ruber,0,22.62078345502183,0.9149829668575578
26,-1.2624887568052898,21.70580048816427,PI,-6.0,-89.5,2.5,sacculifer,1,23.293212678657397,1.5874121904931258
27,-1.450267678154991,21.36880506943791,PI,-6.0,-87.5,2.5,ruber,0,23.06682294459038,1.6980178751524697
28,-1.3826714339427517,21.36880506943791,PI,-6.0,-87.5,2.5,sacculifer,1,23.09424387870739,1.7254388092694768
29,-1.37531969213839,21.082154638672165,PI,-6.0,-87.5,5.5,sacculifer,1,23.098922580307775,2.01676794163561
30,-0.8298087875248723,24.38809427566764,PI,-6.0,-87.5,29.5,ruber,0,24.34594359526367,-0.04215068040397085
31,-1.1625641742565977,22.559269676880803,PI,-6.0,-86.5,-2.5,ruber,0,23.657634743646806,1.0983650667660037
32,-0.8596965602362132,22.559269676880803,PI,-6.0,-86.5,-2.5,sacculifer,1,24.019015561329333,1.4597458844485303
33,-1.238920754445604,22.38108806748761,PI,-6.0,-86.5,-1.5,ruber,0,23.50939165167006,1.1283035841824507
34,-0.9349197202965667,22.38108806748761,PI,-6.0,-86.5,-1.5,sacculifer,1,23.887450587160806,1.5063625196731962
